Date,Distance,Destination,MPG
2023-09-11,6.2,Errand,14.3
2023-09-12,22.3,Work,35.3
2023-09-12,27.5,Home,20.7
2023-09-13,22.3,Work,36.9
2023-09-13,22.5,Home,26.7
2023-09-14,22.3,Work,34.9
2023-09-14,21.7,Home,30.8
2023-09-14,5.9,Errand,19.1
2023-09-17,10.3,Errand,26.2
2023-09-18,22.3,Work,35.4
2023-09-18,22.6,Home,23.2
2023-09-18,10.3,Errand,23.2
2023-09-19,22.3,Work,35.2
2023-09-19,22.5,Home,29.8
2023-09-20,22.3,Work,33.5
2023-09-20,22.6,Home,27.2
2023-09-20,5.9,Errand,14.8
2023-09-21,6.2,Errand,9.1
2023-09-25,22.3,Work,34.4
2023-09-25,22.5,Home,24.8
2023-09-26,22.3,Work,35.0
2023-09-26,22.5,Home,27.1
2023-09-27,22.3,Work,33.5
2023-09-27,22.5,Home,26.2
2023-09-28,22.3,Work,36.1
2023-09-28,23.3,Home,34.5
2023-09-28,6.4,Errand,13.8
2023-09-29,6.3,Errand,15.6
